#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
#tags column:6
O0*k3	Basic+	药理学::药物	塞来昔布	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>选择性COX2抑制药</b></span></li><li>1. 不影响TXA2，抑制PGI2。</li><li>2. 肾损害。血栓形成倾向慎用。</li></ul>"	
"MW4@#e0kB;"	问答题	药理学::药物	巴比妥类	"<ul><li>巴比妥类<span style=""color: rgb(170, 0, 0);""><b>镇静催眠药</b></span></li><li>药理作用</li><ul><li>选择性抑制脑干网状结构上行激动系统，使大脑皮层细胞兴奋性降低而转入抑制。</li><li>增强GABA能神经的抑制效应。</li><ul><li>Cl<sup><span style=""font-size: 16.6667px;"">-</span></sup>通道开放的时间延长，从而增强GABA介导的Cl<sup>-</sup>内流</li><li>选择性较低，剂量稍大即普遍抑制中枢神经系统。</li></ul></ul><li>临床应用</li><ul><li>镇静催眠：引起非生理性睡眠，伴多梦引起睡眠障碍</li><li>抗惊厥抗癫痫（主要用途）</li><li>麻醉（硫喷妥钠=<strong><strong>短效巴比妥类药物</strong></strong>）&nbsp;</li></ul><li>体内过程</li><ul><li>对中枢神经系统呈全面的抑制作用。</li><li>随着剂量的加大抑制作用由浅入深相继产生：<b>镇静→催眠→抗惊厥、抗癫痫→麻醉作用→过量麻痹延髓呼吸中枢和血运中枢→甚至死亡</b><br></li></ul><li>给药：口服</li><li>不良反应：</li><ul><li><span style=""color: rgb(170, 0, 0);"">过敏反应：剥脱性皮炎</span></li><li><span style=""color: rgb(170, 0, 0);"">缩短REMS</span>（非快速眼动睡眠=慢波睡眠），久用骤停易出现反跳现象如多梦、噩梦。</li><li>后遗效应（宿醉反应）明显。</li><li>加<span style=""color: rgb(170, 0, 0);"">大剂量可产生麻醉作用</span>。</li><li>可<span style=""color: rgb(170, 0, 0);"">诱导肝药酶</span>，联合用药相互干扰多。</li><li>长期用药产生明显<span style=""color: rgb(170, 0, 0);"">耐受性</span>和依赖性</li><li><b><span style=""color: red;"">呼吸抑制：致死原因</span></b><br></li></ul><li>巴比妥类急性中毒治疗</li><ul><li>对因治疗：</li><ul><li>上吐（催吐、高锰酸钾洗胃）</li><li>下泻（硫酸钠导泻）</li><li>碱化尿液（碳酸氢钠/乳酸钠）</li><li>强迫利尿（饮水/ 输液/利尿药）</li></ul><li>对症治疗：</li><ul><li>维持呼吸及血循环的功能（如人工呼吸、吸氧、输液、升压药、保温等）</li></ul></ul></ul>"	
"mb}X=YT!#t"	问答题	药理学::药物	唑吡坦	唑吡坦=思诺思=镇静催眠药	
"H#elt[<~n>"	问答题	药理学::药物	苯妥英钠	"<ul><li><b style=""color: rgb(170, 0, 0);"">Ib类抗心律失常药=钠通道轻度阻滞剂（也可以抗癫痫）</b><br></li><li>药理作用：主要用于治疗室性心律失常，<span style=""color: red;"">特别对强心苷中毒引起的<b>室性心律失常</b>有效</span></li><li>作用机制&amp;临床应用</li><ul><li><span style=""color: rgb(170, 0, 0);""><b>阻止癫痫病灶异常放电</b></span>向正常脑组织的扩散</li><li>抗癫痫</li><ul><li><b>癫痫大发作</b>及<b>局限性发作</b>的首选药</li><li>精神运动性发作有效</li><li>对失神性发作（小发作）无效</li></ul><li>治疗中枢疼痛综合征</li><ul><li>三叉神经、舌咽神经及坐骨神经痛等。</li></ul><li>抗心律失常</li><ul><li><b>强心苷过量中毒所致心律失常</b>的首选药</li></ul></ul><li>体内过程</li><ul><li><b>起效慢</b>：连续服6-10天，才达稳态血药浓度。</li><li>呈强碱性，刺激性大</li><li>不同制剂生物利用度显著差异</li><li>主要经肝代谢，个体差异大（血药浓度监测）</li><li>为<b>肝药酶诱导剂&nbsp;</b><br></li></ul><li>临床应用</li><ul><li><b>地高辛引起的窦性心动过速首选药</b></li></ul><li>不良反应</li><ul><li>局部刺激（碱性强，不宜im给药， iv可引起静脉炎及心脏抑制）</li><li>神经系统反应，共济失调等</li><li>过敏反应</li><li>长期服药导致：</li><ul><li>牙龈增生</li><li>巨幼红细胞贫血（防治：<span style=""color: rgb(170, 0, 0);""><b>补充叶酸+VitB12</b></span>）</li><li>骨骼系统反应：维生素D缺乏→低钙血症→骨缺钙（防治：<span style=""color: rgb(170, 0, 0);""><b>补钙</b></span>）</li></ul></ul></ul>"	
sHLc~c24:Q	问答题	药理学::药物	卡马西平	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>卡马西平=酰胺咪嗪=广谱抗癫痫药</b></span></li><li>作用机制：抑制癫痫病灶及周围神经元放电</li><li>药理效果：</li><ul><li>抗癫痫</li><li>抗抑郁</li><li>抗躁狂</li><li>抗中枢性尿崩症</li></ul><li>临床应用：</li><ul><li><b>癫痫单纯性（精神运动性）发作首选药</b></li><li><b>三叉神经痛首选药</b></li></ul><li>给药：口服</li></ul>"	
h2eXE,Flt*	问答题	药理学::药物	苯巴比妥	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗癫痫药</b></span></li><li>药理作用：抑制癫痫灶异常放电及扩散<br></li><li>临床应用：防治大发作及治疗癫痫持续状态；单纯局限性发作、精神运动性发作有效。</li><li>给药：临床用<b>戊巴比妥钠</b><span style=""color: rgb(170, 0, 0);"">iv</span>控制<span style=""color: rgb(170, 0, 0);"">癫痫持续状态</span></li></ul>"	
"uWg^L4jay#"	问答题	药理学::药物	乙琥胺	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗癫痫药</b></span></li><li><span style=""color: rgb(170, 0, 0);""><b>癫痫小发作首选药</b></span></li><li>给药：口服</li><li>不良反应：中枢抑制作用</li></ul>"	
"DP#^dW$M:B"	问答题	药理学::药物	丙戊酸钠	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>广谱抗癫痫药</b></span></li><li>药理作用：阻止癫痫病灶异常放电向正常脑组织扩散</li><li>临床应用：<b><span style=""color: red;"">大发作合并小发作的首选药，</span></b>也用于其他药物未能控制的<b>顽固性癫痫</b></li><li>给药：口服</li><li>不良反应：<b>肝毒性</b></li></ul>"	
A@/[3LUI+,	问答题	药理学::药物	苯二氮卓类药物	"<ul><li>苯二氮卓类=BZ=抗癫痫药</li><li>临床：</li><ul><li><span style=""color: rgb(170, 0, 0);""><b>癫痫持续状态首选药物——地西泮</b></span></li><li>小发作、肌阵挛性发作---硝西泮</li><li>可以治疗由局麻药导致的惊厥（普鲁卡因过量导致GABA-A兴奋性脱抑制）</li></ul></ul>"	
pdNNu-&nA8	问答题	药理学::药物	硫酸镁	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗惊厥药 + 渗透性泻药=容积性泻药 + 促进胆囊排空药（利胆药）</b></span></li><li>药理作用</li><ul><li>拮抗Ca+作用→抑制Ach的释放→阻断神经肌接头的传递→扩张血管平滑肌→<span style=""color: rgb(170, 0, 0);""><b>降血压（快而强）</b></span></li><li><b>抑制中枢神经系统→镇静、抗惊厥作用</b><br></li><li><strong>容积性<span style=""color: rgb(170, 0, 0);"">泻药</span>：</strong>口服后不易被吸收，停留在肠腔内，使肠道渗透压升高，阻止水份的吸收，进而刺激肠壁，增加肠蠕动而导泻<br></li><li>引起胆总管括约肌松弛、胆囊收缩，从而促进胆囊排空→利胆作用<br></li></ul><li>临床应用：</li><ul><li>缓解高血压危象</li><li>缓解子痫、破伤风等的惊厥</li><li>泻药</li><li>利胆药</li></ul><li>给药方式：</li><ul><li><b>口服给药：</b></li><ul><li>无抗惊厥作用</li><li>导泻作用→治疗便秘，排毒，驱虫</li><li>利胆作用→用于胆石症，慢性胆囊炎</li></ul><li>外用热敷：消炎去肿</li><li><b>注射给药</b>：产生全身作用</li><ul><li>治疗破伤风惊厥，子痫</li><li>降低血压（用于高血压危象和高血压脑病）<br></li></ul></ul><li>不良反应：安全范围小</li><li>过量：<br></li><ul><li><b>呼吸抑制、血压骤降</b></li><li><b>血镁过高容易心脏骤停</b></li><li>中毒表现：膝跳反射消失<br></li></ul><li>解救：<span style=""color: rgb(170, 0, 0);""><b>先停药，静脉注射葡萄糖酸钙</b></span><br></li></ul>"	
NkXXtAwAg[	问答题	药理学::药物	左旋多巴	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>左旋多巴=多巴胺的前体=抗帕金森病（PD）药=拟多巴胺类药</b></span></li><li>药理作用：</li><ul><li>对多数患者有效。对轻症、较年轻患者疗效好。</li><li>改善肌肉强直及运动迟缓效果较好, 对肌肉震颤效果差。</li><li>对<b>抗精神病药<span style=""color: rgb(170, 0, 0);"">吩噻嗪类</span></b>致的<span style=""color: red;""><b>锥体外系反应</b></span>无效。</li><li>显效慢。1-6个月显示最大疗效</li></ul><li>体内过程</li><ul><li><div><span style=""color: red;"">左旋多巴在脱羧酶的作用下变成多巴胺</span>→<span style=""color: red;"">弥补多巴胺的不足</span></div></li><li><div>仅1%的左旋多巴进入CNS治疗PD→外周不良反应</div></li></ul><li>临床应用</li><ul><li>治疗帕金森病</li><li>治疗肝昏迷（肝性脑病）：DA转变为NA</li></ul><li>药物相互作用</li><ul><li><span style=""color: rgb(170, 0, 0);""><b>维生素B6</b></span>是<b>多巴脱羧酶</b>的辅基，能加速左旋多巴在外周组织转化成多巴胺</li><li>利血平：耗竭黑质纹状体内的DA<br></li></ul><li>不良反应</li><ul><li>胃肠反应：恶心、呕吐等最常见，<b>消化性溃疡慎用。</b></li><li>心血管反应：可出现<b>直立性低血压</b>、心律失常。</li><li>运动过多症：异常动作舞蹈症的总称，如张口、咬牙等。</li><li>症状波动（<span style=""color: rgb(170, 0, 0);""><b>开-关反应</b></span>）：突然多动不安，而后又全身强直不动。</li><li>精神症状：不安、焦虑、失眠、幻想等<br></li></ul></ul>"	
k~|Rchn*k+	问答题	药理学::药物	卡比多巴	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗帕金森病药（左旋多巴增效药）</b></span></li><li>作用机制：<b>外周DA脱羧酶抑制药</b>（减少外周作用，增强中枢作用）</li><li>临床应用：组成复方制剂</li><ul><li>卡比多巴+左旋多巴=心宁美<br></li><li>苄丝肼+左旋多巴=美多巴</li></ul></ul>"	
EE(Jv~Kd//	问答题	药理学::药物	司来吉兰	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗帕金森病药（左旋多巴增效药）</b></span></li><li>作用机制：单胺氧化酶MAO-B抑制药，<b><span style=""font-weight: 400; color: rgb(170, 0, 0);"">使脑内多巴胺代谢降低</span></b><br></li></ul>"	
K{;cB++t]&	问答题	药理学::药物	<div>金刚烷胺</div>	"<ul><li><b>抗帕金森病药（<span style=""color: red;"">促多巴胺释放药</span>）</b></li><li>对各型震颤麻痹（帕金森病）有效，<span style=""color: rgb(170, 0, 0);"">与左旋多巴合用有协同作用</span><br></li><li>体内过程：见效快而持效短</li></ul>"	
DEt)SJ2_sd	问答题	药理学::药物	苯海索	"<ul><li>苯海索=安坦=<span style=""color: rgb(170, 0, 0);""><b>抗帕金森病药（抗胆碱药）</b></span></li><li>作用机制：阻断中枢M-R → 抑制黑质纹状体通路的ACh的作用</li><li>临床应用：</li><ul><li>用于早期轻症患者</li><li>不能耐受左旋多巴或禁用左旋多巴的患者</li><li><span style=""color: red;"">抗精神病药所致的帕金森综合症</span></li></ul><li>给药：口服（对帕金森病的震颤和僵直有效,但对动作迟缓无效）</li></ul>"	
O=weWs`bod	问答题	药理学::药物	氯丙嗪	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>氯丙嗪=冬眠灵=抗精神病药=低温麻醉药</b></span></li><li>药理作用广泛</li><ul><li>&gt; 它的许多作用均与阻断中枢不同部位的DA受体有关。也可阻断α受体、M受体。</li><li><b>对中枢神经系统的作用</b><br></li><ul><li><span style=""color: rgb(170, 0, 0);"">抗精神病作用</span>（镇静、安定）（<span style=""color: rgb(0, 170, 0);"">阻断中脑-边缘系统、中脑-皮质通路的D2受体</span>）</li><li><span style=""color: rgb(170, 0, 0);"">镇吐作用</span>（作用强，但是对晕动病的呕吐无效）</li><ul><li>小剂量阻断<b>延髓催吐化学感受器</b>的D2受体</li><li>大剂量直接抑制<b>呕吐中枢</b><br></li></ul><li><span style=""color: rgb(170, 0, 0);"">对体温调节的作用</span>（体温随环境变化而升降）</li></ul><li><b>对自主NS的作用：</b>阻断α、M受体<br></li><ul><li>α1受体阻断：血管扩张，血压降低<br></li><li>M受体阻断（弱）：阿托品样表现</li></ul><li><b>对内分泌系统的作用：</b>阻断结节-漏斗系统中的D2受体</li><ul><li><span style=""color: rgb(170, 0, 0);"">催乳素↑</span>——泌乳</li><li><span style=""color: rgb(170, 0, 0);"">生长激素↓</span>——儿童侏儒症，成人治疗巨人症<br></li><li><span style=""color: rgb(170, 0, 0);"">促性腺激素↓</span>——月经紊乱，延迟排卵<br></li></ul></ul><li>临床应用</li><ul><li><b>精神分裂症</b>：对精神分裂症、躁狂症有效，但无根治作用。&nbsp;</li><li><b>呕吐<span style=""color: rgb(0, 170, 0);"">（不能用于晕动病导致的呕吐）</span></b></li><li><b>顽固性呃逆</b></li><li><b>低温麻醉与<span style=""color: rgb(170, 0, 0);"">人工冬眠</span>：</b>用于中毒性休克、高热惊厥、严重感染、严重创伤、甲状腺危象、烧伤等。</li></ul><li>体内过程：口服吸收慢而不规则、肌内注射吸收迅速</li><li>人工冬眠疗法：</li><ul><li>冬眠合剂 + 物理降温等产生冬眠深睡状态。</li><li>使体温降低，代谢、耗氧量、器官活动减少，对缺养耐受力增加（使机体处于保护性抑制状态）</li><li>冬眠合剂：<span style=""color: rgb(0, 0, 127);""><b>氯丙嗪、异丙嗪、哌替啶</b></span></li></ul><li>不良反应：</li><ul><li>中枢抑制症状</li><li><b>锥体外系反应</b></li><li>M受体阻断效应：<span style=""color: red;"">口干、便秘、视力模糊</span></li><li>α受体阻断效应：体位性低血压（用<b>去甲肾上腺素</b>对抗）<br></li><li>内分泌系统：泌乳、月经紊乱</li></ul><li><span style=""color: rgb(170, 0, 0);""><b>锥体外系反应</b></span>（苯海索+氯氮平&nbsp;<span style=""font-weight: 400;"">缓解</span>）</li><ul><li>帕金森综合症（最常见）&nbsp;</li><li>急性肌张力障碍</li><li>静坐不能</li><li>迟发性运动障碍（长期用药出现，停药后不消失，抗胆碱药反加重症状，用<b>氯氮平</b>治疗）</li></ul><li><span style=""color: rgb(170, 0, 0);"">ps：氯丙嗪引起致死性的低血压，不能用肾上腺素而用去甲肾上腺素解救，因为抑制α1受体会导致肾上腺素的翻转效应！</span></li></ul>"	
sLVI@qbOg)	问答题	药理学::药物	五氟利多	"<span style=""color: rgb(170, 0, 0);""><b>抗精神病药</b></span>，用于急慢性精神分裂症尤其慢性患者"	
Dq0MsaZ^9W	问答题	药理学::药物	氯氮平	"<ul><li><b><span style=""color: rgb(170, 0, 0);"">新型抗精神病药（中枢性抗5-HT药）</span></b></li><li>药理作用：5-HT受体拮抗剂+选择性阻断D4受体</li><li>临床应用：对其他抗精神病药无效的精神分裂症的<b>阳性和阴性症状</b>有效。既降低中枢五羟色胺效能（抗精神分裂），又降低中枢多巴胺效能（选择性阻断D4受体，所以不引起锥体外系反应），现在是抗精神分裂症的首选药。可以缓解锥体外系反应中的迟发性运动障碍。</li></ul>"	
"LPUNYd#(a#"	问答题	药理学::药物	"<span style=""color: red;"">碳酸锂</span>"	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>抗躁狂症药</b></span></li><li>机制：锂离子发挥作用<br></li><li>临床应用：<span style=""color: rgb(170, 0, 0);"">对躁狂症患者有显著疗效，</span>特别是<b>急性躁狂和轻度躁狂</b></li><li>给药：口服</li></ul>"	
cl8E(s8:?8	问答题	药理学::药物	丙咪嗪	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>丙咪嗪=米帕明=三环类抗抑郁药</b></span></li><li>临床应用：<b>抑郁症（首选药）、尿遗症、焦虑和恐惧症</b></li><li>药理作用</li><ul><li>中枢神经系统<br></li><ul><li>对正常人：思睡乏力，注意力不集中，思维能力降低等现象<br></li><li>对抑郁症患者：明显提高情绪，精神振奋<br></li></ul><li>心血管系统<br></li><ul><li>抑制心肌中NA再摄取，NA↑→心律失常（心动过速）</li><li>血压下降<br></li></ul></ul><li>作用机制：</li><ul><li><span style=""color: red;""><b>非选择性</b></span><b>单胺（5-HT、NA）再摄取抑制药</b></li><li>主要阻断NA、5-HT在神经末梢（前膜）的再摄取，从而使突触间隙的递质浓度增高，而发挥抗抑郁作用</li></ul><li>不良反应：</li><ul><li>导致心律失常（心动过速）</li><li>？？可能会导致抑郁？？</li></ul></ul>"	
uPe<B<PUEg	问答题	药理学::药物	美沙酮	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>镇痛药</b></span></li><li>机制：激动μ型阿片受体</li><li>药理作用：口服美沙酮后再注射吗啡不能引起原有的欣快感，亦不出现戒断症状→吗啡成瘾性减弱<br></li><li>临床应用：</li><ul><li>创伤、手术及<span style=""color:red"">晚期癌症</span>等<span style=""color:red"">所致剧痛</span></li><li>广泛用于吗啡,海洛因等成瘾的<b>脱毒治疗</b><br></li></ul><li>给药：口服、皮下/肌内注射</li></ul>"	
"k,ezS7#!94"	问答题	药理学::药物	喷他佐辛	"<ul><li><b><span style=""color: rgb(170, 0, 0);"">喷他佐辛=镇痛新=镇痛药</span>（阿片受体部分激动药）</b></li><li>对μ型阿片受体的激动效果是部分激动，成瘾性小<br></li><li>临床应用：各种慢性疼痛</li><li>给药：口服，皮下，肌内注射</li></ul>"	
sm$qx,3qzr	问答题	药理学::药物	吗啡	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>镇痛药=阿片受体激动药</b></span></li><li>药理作用</li><ul><li><span style=""color: rgb(170, 0, 0);"">中枢系统作用</span></li><ul><li>（<span style=""color: rgb(0, 170, 0);""><b>痛觉传导通路</b></span>的μ型阿片受体）<span style=""color: rgb(170, 0, 0);"">镇痛</span>：抑制痛觉从下向上的传导。持续性钝痛﹥间断性锐痛</li><li>（<span style=""color: rgb(0, 170, 0);""><b>边缘系统和蓝斑核</b></span>的阿片受体）<span style=""color: rgb(170, 0, 0);"">镇静、致欣快作用</span>：中枢镇静作用，也是成瘾的基础</li><li>（<span style=""color: rgb(0, 170, 0);""><b>脑干呼吸中枢</b></span>的阿片受体）抑制呼吸：降低脑干呼吸中枢对血液CO2张力的敏感性，呼吸频率减慢</li><li>（<span style=""color: rgb(0, 170, 0);""><b>延髓咳嗽中枢</b></span>的阿片受体）镇咳：肺部出血或外伤时止咳</li><li>（<b>延髓呕吐中枢</b>的阿片受体）催吐：导致患者发生中枢性呕吐</li><li>（<b>E-W核</b>的阿片受体，增加瞳孔的副交感神经张力）缩瞳：<b>针尖样</b>为中毒诊断依据</li><li>（下丘脑体温调节中枢）影响体温调节</li><li>（下丘脑）影响内分泌<br></li></ul><li><span style=""color: rgb(170, 0, 0);"">平滑肌</span></li><ul><li>胃肠道：<b>降低消化道的活动强度</b>→减少蠕动→便秘（止泻）</li><li>胆道：胆道<b>Oddi括约肌收缩</b>→胆囊压↑→胆绞痛（但是治疗胆绞痛还是可以阿托品合用阿片受体激动剂）</li><li>子宫：<b>降低子宫平滑肌</b>张力→延长产程</li><li>泌尿道：<b>泌尿道括约肌</b>张力增加→尿潴留</li><li>呼吸道：<b>支气管平滑肌收缩</b>→呼吸困难</li></ul><li><span style=""color: rgb(170, 0, 0);"">心血管系统</span></li><ul><li>吗啡可扩张血管，引起体位性低血压</li><li><b>显著的脑血管扩张和脑血流量增加：</b>增加体循环&amp;脑血管内CO2浓度→脑血管代偿性的舒张<br></li><li>可<b>抑制呼吸</b>，使体内<b>CO2蓄积</b>，扩张脑血管而导致<b>颅内压增高</b></li></ul><li><span style=""color: rgb(170, 0, 0);"">免疫系统</span></li><ul><li>有<span style=""color: rgb(170, 0, 0);"">抑制作用</span>（淋巴细胞、NKC、HIV）我们会发现吸海洛因的人，它很容易患艾滋病。</li><li>抑制细胞、体液免疫，长期滥用免疫功能低下，易患感染性疾病。</li></ul></ul><li>临床应用</li><ul><li><span style=""color: rgb(170, 0, 0);""><b>镇痛</b></span>：</li><ul><li>急性锐痛：严重创伤、烧伤、手术、血压正常的心梗引起的心绞痛</li><li>内脏绞痛，须与解痉药阿托品合用</li><li>长期：癌性剧痛（易成瘾）</li><li>短期：其他镇痛药无效的短期应用</li></ul><li><span style=""color: rgb(170, 0, 0);""><b>心源性哮喘</b></span>（=左心衰竭引发的<b>肺水肿</b>）：</li><ul><li>机制：</li></ul></ul><ol><ol><ol><li>扩血管，降低外周阻力→降低左心后负荷→缓解肺循环淤血</li><li>镇静，消除患者紧张情绪，降低氧耗</li><li>抑制呼吸，降低中枢对CO2的敏感性，缓解急促的浅表呼吸</li></ol></ol></ol><ul><ul><li>注意：<b>休克、昏迷及严重肺功能不全者禁用</b></li></ul><li><span style=""color: rgb(170, 0, 0);""><b>止泻</b></span>：</li><ul><li>急、慢性消耗性腹泻</li><li>细菌感染者同时应用抗生素</li></ul><li>吗啡对神经性疼痛的疗效较差<br></li></ul><li>体内过程</li><ul><li>吸收：口服易吸收，首关效应明显。<b>常用皮下或注射给药</b></li><li><span style=""color: rgb(170, 0, 0);"">分布：广</span>，少量透过血脑屏障</li><li><span style=""color: rgb(170, 0, 0);"">代谢：肝</span>，吗啡-6-葡萄糖醛酸仍具有活性（甚至比吗啡还要强），通过肾脏排出</li><li>排泄：肾，少量通过乳汁，也可透过胎盘屏障</li></ul><li>不良反应</li><ul><li><span style=""line-height: 115%;"">恶心、呕吐、便秘、呼吸抑制、尿少、排尿困难、胆内压升高甚至胆绞痛、直立性低血压和免疫抑制等。</span><br></li><li><span style=""line-height: 115%;""><b>耐受性</b>：随着吗啡的长期使用，它的药效越来越低</span></li><li><span style=""line-height: 115%;""><b><span style=""color: rgb(170, 0, 0);"">依赖性</span></b>（成瘾性）：心理依赖+生理依赖，产生<span style=""color: rgb(170, 0, 0);"">戒断症状（强迫性觅药行为）</span><br></span></li><li><span style=""line-height: 115%;""><b>吗啡急性中毒</b>：应用过量时产生。有三大特征：</span></li><ul><li><span style=""line-height: 115%;""><span style=""color: red;"">昏迷、深度呼吸抑制</span>（甚至每分钟仅有3-4次）</span></li><li><span style=""line-height: 115%;""><span style=""color: red;"">瞳孔极度缩小</span>（针尖样瞳孔）</span></li><li><span style=""line-height: 115%;""><span style=""color: red;"">呼吸麻痹</span>（致死的主要原因）</span></li></ul><li>吗啡急性中毒的解救：<span style=""color: rgb(0, 170, 0);""><b>纳洛酮（阿片受体拮抗剂）</b></span></li></ul><li>禁忌症：</li><ul><li>支气管哮喘（吗啡会促进呼吸道的收缩且抑制呼吸）</li><li>肺心病、颅脑损伤（因为脑血管内CO2蓄积会引起颅内高压）</li><li>严重肝功能减退（因为吗啡经肝脏代谢）</li><li>临产妇、哺乳妇和分娩止痛（因为吗啡会降低子宫对催宫素的反应，从而延长产程。<span style=""color: rgb(0, 170, 0);"">产科止痛用哌替啶</span>）</li></ul></ul>"	
qMd2Kdp6kt	问答题	药理学::药物	哌替啶	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>哌替啶=杜冷丁=μ-R激动药=镇痛药</b></span></li><li>与吗啡相比：</li><ul><li>镇痛力约为吗啡的1/10，持续时间较短（2-4小时）</li><li><b>镇静、致欣快</b>、呼吸抑制、扩血管作用与吗啡相当</li><li>兴奋平滑肌作用较弱，时间也较短，一般不引起便秘和尿潴留，无止泻作用。不延长产程（分娩止痛在临产前2-4小时不宜使用）</li><li>其代谢产物<b>去甲哌替啶</b>能兴奋中枢，可引起癫痫患者的急剧发作。某些中毒者可出现震颤、惊厥等兴奋症状。</li><li>耐受性、<b>成瘾性较吗啡轻，不良反应也较少</b></li><li>中毒时瞳孔散大, 配合抗惊厥药进行中毒解救。</li></ul><li>临床应用</li><ul><li>镇痛：用于<span style=""color: rgb(170, 0, 0);"">各种剧痛</span>，<b>是吗啡的良好代用品</b><br></li><li><span style=""color: rgb(170, 0, 0);""><b>心源性哮喘</b></span>：可代替吗啡应用<br></li><li><b><span style=""color: red;"">麻醉前给药和人工冬眠：</span></b>哌替啶与氯丙嗪、异丙嗪配伍组成<b>冬眠合剂</b></li></ul><li>体内过程</li><ul><li>口服易吸收，皮下肌内注射吸收更迅速</li><li>临床常用注射给药</li></ul><li>中毒解救：<b>纳洛酮+抗惊厥药</b></li></ul>"	
k4CzJBag.v	问答题	药理学::药物	阿司匹林	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>阿司匹林=乙酰水杨酸=解热镇痛抗炎药（非选择性环氧酶抑制药）</b></span></li><li>药理作用</li><ul><li>作用机理：抑制PG合成，减轻炎性疼痛</li><li>解热(+++)、镇痛(+++)、及抗炎抗风湿(+++)<br></li><ul><li><u>常用剂量（0.5g）</u>具有<span style=""color: red;"">较强解热镇痛</span>作用，也可与其他药物配成复方（A.P.C片）用于头痛、牙痛、肌肉痛、神经痛、关节痛、痛经及感冒发热等<br></li><li><u>大剂量（3-5g）具有</u><span style=""color: red;"">明显消炎抗风湿</span>作用，使急性风湿热患者退热，关节红、肿、痛缓解，血沉下降，主观感觉良好，急性风湿热的鉴别诊断,是临床首选药之一。<br></li></ul><li><b>小剂量</b>抗血小板聚集<br></li><ul><li><u>小剂量（50-100mg）</u><span style=""color: rgb(170, 0, 0);"">TXA2↓&nbsp;抗血小板聚集，可防止血栓形成（<b><span style=""color: red;"">体外无抗凝作用</span></b>）</span><br></li><li>大剂量：抑制血管内皮PG合成酶，PGI2↓ ，促血小板聚集</li></ul></ul><li>体内过程</li><ul><li>口服吸收（水解为水杨酸）</li><li>分布全身并可进入关节腔、脑脊液和胎盘，血浆蛋白结合率80-90%</li><li>肝代谢：药动学</li><li>肾排泄：碱化尿液加速排泄（解毒措施）<br></li></ul><li>不良反应（阿姨为您扬名）</li><ul><li>阿：阿司匹林<b style=""color: rgb(170, 0, 0);"">（非选择性环氧酶抑制药）</b></li><li>姨：瑞夷（Reye）综合征（肝衰+脑病）</li><li>为：胃肠道反应（<span style=""color: red;"">无痛性出血</span>）</li><li>您：凝血障碍（出血时间延长（<b>血小板</b>、<b>VitK</b>解救））</li><li>扬：水杨酸反应（毒性反应）阿司匹林剂量＞5g/日（头痛、眩晕、耳鸣、视听力减退）</li><li>名：过敏反应（阿司匹林哮喘）</li></ul></ul>"	
Qd5M8oH-jE	问答题	药理学::药物	对乙酰氨基酚	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>对乙酰氨基酚=扑热息痛=解热镇痛抗炎药（苯胺类）</b></span></li><li>药理作用（缓和、持久）</li><ul><li>解热作用 ++</li><li>镇痛作用 ++</li><li><b>抗炎抗风湿&nbsp; -</b></li></ul><li>临床应用</li><ul><li><span style=""color: red;"">对不宜使用阿司匹林的头痛发热病人适用本药</span></li><li>用于感冒发烧、头痛、<b>神经肌肉痛</b>等<br></li><li>尤其适用于<b><span style=""color:red"">儿童的病毒感染发热</span></b><br></li></ul><li>给药：口服</li><li>不良反应小：皮疹、<b>肾毒性</b>、中毒致肝坏死</li></ul>"	
pu?$FUK&YD	问答题	药理学::药物	保泰松	"<ul><li><span style=""color: rgb(170, 0, 0);""><b>保泰松=不他酮=解热镇痛抗炎药=吡唑酮类</b></span></li><li>解热作用 + 镇痛作用 + 抗炎抗风湿 +++<br></li><li>临床应用：急性风湿性及类风湿性关节炎，强直性脊柱炎</li><li>给药：口服</li><li>不良反应：不良反应较多，已少用</li></ul>"	
